Symbol,Name,% Holding,Shares
SR,Spire Inc,0.01%,N/A
EPR,Entertainment Properties Trust,0.01%,N/A
ALGM,Allegro Microsystems Inc,0.01%,N/A
THO,Thor Industries,0.01%,N/A
SLGN,Silgan Holdings,0.01%,N/A
CUZ,Cousins Properties Inc,0.01%,N/A
MIR,Mirion Technologies Inc,0.01%,N/A
BILL,Bill Holdings Inc,0.01%,N/A
VVV,Valvoline Inc,0.01%,N/A
NPO,Enpro Inc,0.01%,N/A
SLAB,Silicon Labs Inc,0.01%,N/A
GMS,Gms Inc,0.01%,N/A
ATGE,Adtalem Global Education Inc,0.01%,N/A
NJR,Newjersey Resources Corp,0.01%,N/A
BOX,Box Inc,0.01%,N/A
SMTC,Semtech Corp,0.01%,N/A
URBN,Urban Outfitters Inc,0.01%,N/A
SXT,Sensient Technologies Corp,0.01%,N/A
KNF,Knife River Holding CO,0.01%,N/A
ACIW,Aci Worldwide Inc,0.01%,N/A
CALM,Cal-Maine Foods IN,0.01%,N/A
CSW,Csw Industrials Inc,0.01%,N/A
BEPC,Brookfield Renewable Corp,0.01%,N/A
KRG,Kite Realty Group Trust,0.01%,N/A
BCPC,Balchem Corp,0.01%,N/A
ROAD,Construction Partners Inc Cl A,0.01%,N/A
CCCS,CCC Intelligent Solutions Hldgs Inc,0.01%,N/A
COLD,Americold Realty Trust,0.01%,N/A
LSTR,Landstar System,0.01%,N/A
ABG,Asbury Automotive Group Inc,0.01%,N/A
BIO,Bio-Rad Laboratories,0.01%,N/A
GAP,Gap Inc,0.01%,N/A
ST,Sensata Technologies Holding N.V.,0.01%,N/A
SHAK,Shake Shack Inc,0.01%,N/A
CNX,CNX Resources Corp,0.01%,N/A
TEM,Tempus Ai Cl A,0.01%,N/A
RIOT,Riot Platforms Inc,0.01%,N/A
SKYW,Skywest Inc,0.01%,N/A
ESE,Esco Technologies Inc,0.01%,N/A
VNOM,Viper Energy Inc,0.01%,N/A
NEU,Newmarket Corp,0.01%,N/A
FCFS,Firstcash Holdings Inc,0.01%,N/A
OPCH,Option Care Health Inc,0.01%,N/A
PEGA,Pegasystems Inc,0.01%,N/A
MMSI,Merit Medical Sys,0.01%,N/A
ANF,Abercrombie & Fitch Company,0.01%,N/A
BIPC,Brookfield Infrastructure Partners LP Cl A,0.01%,N/A
ROIV,Roivant Sciences Ltd,0.01%,N/A
TKR,Timken Company,0.01%,N/A
BE,Bloom Energy Corp Cl A,0.01%,N/A
WHR,Whirlpool Corp,0.01%,N/A
SPR,Spirit Aerosystems Holdings,0.01%,N/A
COLB,Columbia Banking Sys,0.01%,N/A
AAON,Aaon Inc,0.01%,N/A
UBSI,United Bkshs Inc,0.01%,N/A
ONTO,Onto Innovation Inc,0.01%,N/A
MOD,Modine Manufacturing Company,0.01%,N/A
NOV,Nov Inc,0.01%,N/A
RDN,Radian Group Inc,0.01%,N/A
AVT,Avnet Inc,0.01%,N/A
LNTH,Lantheus Holdings,0.01%,N/A
AX,Axos Financial Inc,0.01%,N/A
TTMI,TTM Technologies,0.01%,N/A
SPSC,Sps Commerce Inc,0.01%,N/A
CADE,Cadence Bank,0.01%,N/A
SWX,Southwest Gas Corp,0.01%,N/A
AN,Autonation Inc,0.01%,N/A
AEIS,Advanced Energy,0.01%,N/A
MTH,Meritage Corp,0.01%,N/A
LOPE,Grand Canyon Educati,0.01%,N/A
CWAN,Clearwater Analytics Holdings Inc Cl A,0.01%,N/A
QS,Quantumscape Corp,0.01%,N/A
PIPR,Piper Jaffray Companies,0.01%,N/A
GATX,GATX Corp,0.01%,N/A
AUB,Atlantic Union Bancshares Corp,0.01%,N/A
FMC,FMC Corp,0.01%,N/A
ADC,Agree Realty Corp,0.01%,N/A
VMI,Valmont Industries,0.01%,N/A
CHDN,Churchill Downs IN,0.01%,N/A
VNO,Vornado Realty Trust,0.01%,N/A
BROS,Dutch Bros Inc Cl A,0.01%,N/A
SSD,Simpson Manufacturing Company,0.01%,N/A
OMF,Onemain Holdings Inc,0.01%,N/A
VOYA,VOYA Financial Inc,0.01%,N/A
APA,Apa Corp,0.01%,N/A
XP,XP Inc Cl A,0.01%,N/A
R,Ryder System,0.01%,N/A
HALO,Halozyme Therapeutic,0.01%,N/A
CWST,Casella Waste Sys,0.01%,N/A
JAZZ,Jazz Pharma Plc,0.01%,N/A
LW,Lamb Weston Holdings Inc,0.01%,N/A
KNX,Knight-Swift Transporation Inc,0.01%,N/A
ARW,Arrow Electronics,0.01%,N/A
CFLT,Confluent Inc Cl A,0.01%,N/A
MEDP,Medpace Holdings Inc,0.01%,N/A
GTLS,Chart Industries IN,0.01%,N/A
PRMB,Primo Water Corp,0.01%,N/A
OLED,Universal Display,0.01%,N/A
ONB,Old National Bncp,0.01%,N/A
SLM,SLM Corp,0.01%,N/A
FLS,Flowserve Corp,0.01%,N/A
LSCC,Lattice Semicond,0.01%,N/A
DINO,HF Sinclair Corp,0.01%,N/A
ELAN,Elanco Animal Health Inc,0.01%,N/A
TPG,Tpg Inc Cl A,0.01%,N/A
EXP,Eagle Materials Inc,0.01%,N/A
BBIO,Bridgebio Pharma Inc,0.01%,N/A
CVLT,Commvault Systems,0.01%,N/A
G,Genpact Ltd,0.01%,N/A
ESAB,Esab Corp,0.01%,N/A
BEN,Franklin Resources,0.01%,N/A
FOUR,Shift4 Payments Inc,0.01%,N/A
EAT,Brinker International,0.01%,N/A
BMI,Badger Meter,0.01%,N/A
BBWI,Bath & Body Works Inc,0.01%,N/A
ALSN,Allison Transmission Holdings,0.01%,N/A
AWI,Armstrong World Industries Inc,0.01%,N/A
PARA,Paramount Global Cl B,0.01%,N/A
DY,Dycom Industries,0.01%,N/A
RMBS,Rambus Inc,0.01%,N/A
HSIC,Henry Schein Inc,0.01%,N/A
IVZ,Invesco Plc,0.01%,N/A
ESTC,Elastic N.V.,0.01%,N/A
BWA,Borgwarner Inc,0.01%,N/A
HRB,H&R Block,0.01%,N/A
MGM,MGM Resorts International,0.01%,N/A
AXS,Axis Capital Holdings,0.01%,N/A
SAIA,Saia Inc,0.01%,N/A
BRBR,Bellring Brands Inc Cl A,0.01%,N/A
STRL,Sterling Infrastructure Inc,0.01%,N/A
FIVE,Five Below Inc,0.01%,N/A
BRX,Brixmor Property Group Inc,0.01%,N/A
TTC,Toro Company,0.01%,N/A
CELH,Celsius Holdings Inc,0.01%,N/A
MP,MP Materials Corp,0.01%,N/A
ENSG,The Ensign Group IN,0.01%,N/A
JOBY,Joby Aviation Inc,0.01%,N/A
CRL,Charles River Laboratories Intl,0.01%,N/A
UGI,Ugi Corp,0.01%,N/A
AA,Alcoa Corp,0.01%,N/A
MKTX,Marketaxess Holdings,0.01%,N/A
MUSA,Murphy USA Inc,0.01%,N/A
MIDD,Middleby Corp,0.01%,N/A
SNV,Synovus Financial Corp,0.01%,N/A
NNN,NNN REIT Inc,0.01%,N/A
AVAV,Aerovironment Inc,0.01%,N/A
REXR,Rexford Industrial Realty Inc,0.01%,N/A
CAVA,Cava Group Inc,0.01%,N/A
NYT,New York Times Company,0.01%,N/A
TAP,Molson Coors Brewing Company,0.01%,N/A
EGP,Eastgroup Properties,0.01%,N/A
FYBR,Frontier Communications Parent Inc,0.01%,N/A
LNW,Light & Wonder Inc,0.01%,N/A
QRVO,Qorvo Inc,0.01%,N/A
HRL,Hormel Foods Corp,0.01%,N/A
CMA,Comerica Inc,0.01%,N/A
JEF,Jefferies Financial Group Inc,0.01%,N/A
WAL,Western Alliance Bancorp,0.01%,N/A
